date,MOD_STB,Hami_CDN,MOD_FIFAFlow,HAMI_WEBGA
2018-06-14-14:25,1504,90,133696,4278
2018-06-14-14:30,1577,88,133696,4278
2018-06-14-14:35,1577,88,133696,4278
2018-06-14-14:40,1577,90,133696,4278
2018-06-14-14:45,1625,100,133696,4278
2018-06-14-14:50,1625,97,133696,4278
2018-06-14-14:55,1625,93,133696,4278
2018-06-14-15:00,1551,94,133696,3421
2018-06-14-15:05,1546,93,133696,3421
2018-06-14-15:10,1543,101,133696,3421
2018-06-14-15:15,1579,107,133696,3421
2018-06-14-15:20,1580,102,133696,3421
2018-06-14-15:25,1582,112,133696,3421
2018-06-14-15:30,1584,125,133696,3421
2018-06-14-15:35,1585,111,133696,3421
2018-06-14-15:40,1584,112,133696,3421
2018-06-14-15:45,1636,115,133696,3421
2018-06-14-15:50,1637,112,133696,3421
2018-06-14-15:55,1628,112,133696,3421
2018-06-14-16:00,1668,107,133696,3687
2018-06-14-16:05,1669,114,133696,3687
2018-06-14-16:10,1672,118,133696,3687
2018-06-14-16:15,1759,118,133696,3687
2018-06-14-16:20,1761,117,133696,3687
2018-06-14-16:25,1758,114,133696,3687
2018-06-14-16:30,1964,113,133696,3687
2018-06-14-16:35,1927,120,133696,3687
2018-06-14-16:40,1927,124,133696,3687
2018-06-14-16:45,2034,123,133696,3687
2018-06-14-16:50,2035,132,133696,3687
2018-06-14-16:55,2032,131,133696,3687
2018-06-14-17:00,2086,131,133696,4465
2018-06-14-17:05,2086,135,133696,4465
2018-06-14-17:10,2081,141,133696,4465
2018-06-14-17:15,2223,144,133696,4465
2018-06-14-17:20,2228,160,133696,4465
2018-06-14-17:25,2230,173,133696,4465
2018-06-14-17:30,2457,173,133696,4465
2018-06-14-17:35,2458,158,133696,4465
2018-06-14-17:40,2459,156,133696,4465
2018-06-14-17:45,2526,161,133696,4465
2018-06-14-17:50,2531,166,133696,4465
2018-06-14-17:55,2525,156,133696,4465
2018-06-14-18:00,2379,160,133696,5579
2018-06-14-18:05,2381,170,133696,5579
2018-06-14-18:10,2380,176,133696,5579
2018-06-14-18:15,2627,184,133696,5579
2018-06-14-18:20,2631,195,133696,5579
2018-06-14-18:25,2631,195,133696,5579
2018-06-14-18:30,3671,196,133696,5579
2018-06-14-18:35,3675,196,133696,5579
2018-06-14-18:40,3678,199,133696,5579
2018-06-14-18:45,4628,215,133696,5579
2018-06-14-18:50,4632,220,133696,5579
2018-06-14-18:55,4624,215,133696,5579
2018-06-14-19:00,5075,221,133696,7310
2018-06-14-19:05,5084,233,133696,7310
2018-06-14-19:10,5088,234,133696,7310
2018-06-14-19:15,5347,254,133696,7310
2018-06-14-19:20,5354,272,133696,7310
2018-06-14-19:25,5359,276,133696,7310
2018-06-14-19:30,5892,269,133696,7310
2018-06-14-19:35,5901,308,133696,7310
2018-06-14-19:40,5906,340,133696,7310
2018-06-14-19:45,6639,355,133696,7310
2018-06-14-19:50,6639,373,133696,7310
2018-06-14-19:55,6636,381,133696,7310
2018-06-14-20:00,7274,378,133696,11055
2018-06-14-20:05,7269,395,133696,11055
2018-06-14-20:10,7278,400,133696,11055
2018-06-14-20:15,7846,410,133696,11055
2018-06-14-20:20,7845,425,133696,11055
2018-06-14-20:25,7850,433,133696,11055
2018-06-14-20:30,8380,438,133696,11055
2018-06-14-20:35,8384,452,133696,11055
2018-06-14-20:40,8364,406,133696,11055
2018-06-14-20:45,7795,395,133696,11055
2018-06-14-20:50,7801,407,133696,11055
2018-06-14-20:55,7800,436,133696,11055
2018-06-14-21:00,8598,519,133696,17033
2018-06-14-21:05,8611,531,133696,17033
2018-06-14-21:10,8640,544,133696,17033
2018-06-14-21:15,9186,569,133696,17033
2018-06-14-21:20,9221,613,133696,17033
2018-06-14-21:25,9239,649,133696,17033
2018-06-14-21:30,9356,662,133696,17033
2018-06-14-21:35,9387,755,133696,17033
2018-06-14-21:40,9439,889,133696,17033
2018-06-14-21:45,8438,995,133696,17033
2018-06-14-21:50,8502,1149,133696,17033
2018-06-14-21:55,8606,1389,133696,17033
2018-06-14-22:00,11376,1517,133696,33016
2018-06-14-22:05,11464,1795,133696,33016
2018-06-14-22:10,11558,1858,133696,33016
2018-06-14-22:15,13717,1952,133696,33016
2018-06-14-22:20,13825,2117,133696,33016
2018-06-14-22:25,13876,2250,133696,33016
2018-06-14-22:30,21191,2331,133696,33016
2018-06-14-22:35,21414,2589,133696,33016
2018-06-14-22:40,21555,2741,133696,33016
2018-06-14-22:45,25364,2804,133696,33016
2018-06-14-22:50,25571,2901,133696,33016
2018-06-14-22:55,25767,3101,133696,33016
2018-06-14-23:00,32881,3336,133696,13183
2018-06-14-23:05,32859,3434,133696,13183
2018-06-14-23:10,32873,3434,133696,13183
2018-06-14-23:15,35490,3503,133696,13183
2018-06-14-23:20,35485,3571,133696,13183
2018-06-14-23:25,35453,3621,133696,13183
2018-06-14-23:30,36289,3592,133696,13183
2018-06-14-23:35,36275,3470,133696,13183
2018-06-14-23:40,36149,2762,133696,13183
2018-06-14-23:45,32801,2511,133696,13183
2018-06-14-23:50,32599,1872,133696,13183
2018-06-14-23:55,32742,2092,133696,13183
2018-06-15-00:00,30975,1906,225263,12280
2018-06-15-00:05,31063,1732,225263,12280
2018-06-15-00:10,31017,1731,225263,12280
2018-06-15-00:15,31180,1722,225263,12280
2018-06-15-00:20,31211,1654,225263,12280
2018-06-15-00:25,31231,1716,225263,12280
2018-06-15-00:30,30259,1725,225263,12280
2018-06-15-00:35,30169,1892,225263,12280
2018-06-15-00:40,30179,1985,225263,12280
2018-06-15-00:45,28935,2098,225263,12280
2018-06-15-00:50,29508,2223,225263,12280
2018-06-15-00:55,29100,1798,225263,12280
2018-06-15-01:00,19831,1128,225263,3953
2018-06-15-01:05,19465,790,225263,3953
2018-06-15-01:10,19306,591,225263,3953
2018-06-15-01:15,16635,517,225263,3953
2018-06-15-01:20,16567,472,225263,3953
2018-06-15-01:25,16544,427,225263,3953
2018-06-15-01:30,15322,422,225263,3953
2018-06-15-01:35,15285,394,225263,3953
2018-06-15-01:40,15281,380,225263,3953
2018-06-15-01:45,14750,369,225263,3953
2018-06-15-01:50,14747,370,225263,3953
2018-06-15-01:55,14720,359,225263,3953
2018-06-15-02:00,14261,359,225263,1780
2018-06-15-02:05,14257,340,225263,1780
2018-06-15-02:10,14254,342,225263,1780
2018-06-15-02:15,13996,336,225263,1780
2018-06-15-02:20,13997,337,225263,1780
2018-06-15-02:25,13988,335,225263,1780
2018-06-15-02:30,13833,323,225263,1780
2018-06-15-02:35,13821,313,225263,1780
2018-06-15-02:40,13819,304,225263,1780
2018-06-15-02:45,13716,301,225263,1780
2018-06-15-02:50,13714,295,225263,1780
2018-06-15-02:55,13712,284,225263,1780
2018-06-15-03:00,13449,269,225263,993
2018-06-15-03:05,13441,259,225263,993
2018-06-15-03:10,13437,252,225263,993
2018-06-15-03:15,13294,255,225263,993
2018-06-15-03:20,13295,251,225263,993
2018-06-15-03:25,13285,245,225263,993
2018-06-15-03:30,13247,245,225263,993
2018-06-15-03:35,13245,250,225263,993
2018-06-15-03:40,13242,249,225263,993
2018-06-15-03:45,13164,233,225263,993
2018-06-15-03:50,13164,236,225263,993
2018-06-15-03:55,13158,239,225263,993
2018-06-15-04:00,13029,231,225263,717
2018-06-15-04:05,13019,216,225263,717
2018-06-15-04:10,13004,196,225263,717
2018-06-15-04:15,12809,193,225263,717
2018-06-15-04:20,12808,177,225263,717
2018-06-15-04:25,12803,174,225263,717
2018-06-15-04:30,12671,166,225263,717
2018-06-15-04:35,12668,167,225263,717
2018-06-15-04:40,12667,168,225263,717
2018-06-15-04:45,12582,165,225263,717
