Date,Hami_Video
2018-06-15-14:15,221
2018-06-15-14:20,216
2018-06-15-14:25,204
2018-06-15-14:30,211
2018-06-15-14:35,220
2018-06-15-14:40,218
2018-06-15-14:45,231
2018-06-15-14:50,234
2018-06-15-14:55,247
2018-06-15-15:00,252
2018-06-15-15:05,244
2018-06-15-15:10,237
2018-06-15-15:15,240
2018-06-15-15:20,248
2018-06-15-15:25,237
2018-06-15-15:30,243
2018-06-15-15:35,255
2018-06-15-15:40,259
2018-06-15-15:45,287
2018-06-15-15:50,285
2018-06-15-15:55,303
2018-06-15-16:00,296
2018-06-15-16:05,300
2018-06-15-16:10,295
2018-06-15-16:15,312
2018-06-15-16:20,316
2018-06-15-16:25,323
2018-06-15-16:30,339
2018-06-15-16:35,363
2018-06-15-16:40,387
2018-06-15-16:45,409
2018-06-15-16:50,430
2018-06-15-16:55,424
2018-06-15-17:00,435
2018-06-15-17:05,429
2018-06-15-17:10,456
2018-06-15-17:15,474
2018-06-15-17:20,478
2018-06-15-17:25,463
2018-06-15-17:30,472
2018-06-15-17:35,501
2018-06-15-17:40,526
2018-06-15-17:45,545
2018-06-15-17:50,544
2018-06-15-17:55,587
2018-06-15-18:00,595
2018-06-15-18:05,611
2018-06-15-18:10,614
2018-06-15-18:15,662
2018-06-15-18:20,728
2018-06-15-18:25,751
2018-06-15-18:30,749
2018-06-15-18:35,766
2018-06-15-18:40,834
2018-06-15-18:45,916
2018-06-15-18:50,992
2018-06-15-18:55,1086
2018-06-15-19:00,1112
2018-06-15-19:05,1261
2018-06-15-19:10,1317
2018-06-15-19:15,1527
2018-06-15-19:20,1622
2018-06-15-19:25,1840
2018-06-15-19:30,2121
2018-06-15-19:35,2502
2018-06-15-19:40,2816
2018-06-15-19:45,3003
2018-06-15-19:50,3412
2018-06-15-19:55,3901
2018-06-15-20:00,4599
2018-06-15-20:05,5073
2018-06-15-20:10,5428
2018-06-15-20:15,5690
2018-06-15-20:20,5861
2018-06-15-20:25,6165
2018-06-15-20:30,6329
2018-06-15-20:35,6507
2018-06-15-20:40,6675
2018-06-15-20:45,6715
2018-06-15-20:50,5847
2018-06-15-20:55,6241
2018-06-15-21:00,6689
2018-06-15-21:05,7261
2018-06-15-21:10,7642
2018-06-15-21:15,7835
2018-06-15-21:20,8121
2018-06-15-21:25,8481
2018-06-15-21:30,8857
2018-06-15-21:35,9199
2018-06-15-21:40,9543
2018-06-15-21:45,9840
2018-06-15-21:50,10034
2018-06-15-21:55,8349
2018-06-15-22:00,6045
2018-06-15-22:05,5445
2018-06-15-22:10,5247
2018-06-15-22:15,5190
2018-06-15-22:20,5280
2018-06-15-22:25,5420
2018-06-15-22:30,5700
2018-06-15-22:35,5790
2018-06-15-22:40,6022
2018-06-15-22:45,6199
2018-06-15-22:50,6522
2018-06-15-22:55,7146
2018-06-15-23:00,8039
2018-06-15-23:05,8669
2018-06-15-23:10,9103
2018-06-15-23:15,9404
2018-06-15-23:20,9584
2018-06-15-23:25,9840
2018-06-15-23:30,9935
2018-06-15-23:35,10044
2018-06-15-23:40,10084
2018-06-15-23:45,10162
2018-06-15-23:50,8906
2018-06-15-23:55,8602
2018-06-16-00:00,8801
2018-06-16-00:05,9273
2018-06-16-00:10,9677
2018-06-16-00:15,9852
2018-06-16-00:20,9965
2018-06-16-00:25,10120
2018-06-16-00:30,10203
2018-06-16-00:35,10258
2018-06-16-00:40,10369
2018-06-16-00:45,10540
2018-06-16-00:50,10649
2018-06-16-00:55,10102
2018-06-16-01:00,7541
2018-06-16-01:05,6661
2018-06-16-01:10,6369
2018-06-16-01:15,6350
2018-06-16-01:20,6322
2018-06-16-01:25,6288
2018-06-16-01:30,6498
2018-06-16-01:35,6725
2018-06-16-01:40,7122
2018-06-16-01:45,7556
2018-06-16-01:50,8102
2018-06-16-01:55,9145
2018-06-16-02:00,10349
2018-06-16-02:05,10936
2018-06-16-02:10,11336
2018-06-16-02:15,11598
2018-06-16-02:20,11803
2018-06-16-02:25,12047
2018-06-16-02:30,12187
2018-06-16-02:35,12224
2018-06-16-02:40,12201
2018-06-16-02:45,11520
2018-06-16-02:50,10291
2018-06-16-02:55,9720
2018-06-16-03:00,9802
2018-06-16-03:05,10512
2018-06-16-03:10,11194
2018-06-16-03:15,11803
2018-06-16-03:20,12467
2018-06-16-03:25,12911
2018-06-16-03:30,13224
2018-06-16-03:35,13456
2018-06-16-03:40,13390
2018-06-16-03:45,13365
2018-06-16-03:50,13316
2018-06-16-03:55,7581
2018-06-16-04:00,5093
2018-06-16-04:05,3347
2018-06-16-04:10,2774
2018-06-16-04:15,2371
2018-06-16-04:20,2111
2018-06-16-04:25,1927
2018-06-16-04:30,1839
2018-06-16-04:35,1762
2018-06-16-04:40,1660
2018-06-16-04:45,1586
2018-06-16-04:50,1548
2018-06-16-04:55,1516
2018-06-16-05:00,1421
2018-06-16-05:05,1340
2018-06-16-05:10,1239
2018-06-16-05:15,1199
2018-06-16-05:20,1182
2018-06-16-05:25,1159
2018-06-16-05:30,1129
2018-06-16-05:35,1115
2018-06-16-05:40,1100
2018-06-16-05:45,1085
2018-06-16-05:50,1064
2018-06-16-05:55,1052
